NAME,DESCRIPTION,CHECK DATE,AMOUNT
2006 EQUINE MEDICAL CENTER OF,Other Contracted Svces/Labor,04/29/2020,$360.00
"308 CONSTRUCTION, LLC",Repairs-Buildings,04/15/2020,"$134,567.98"
"308 CONSTRUCTION, LLC",Repairs-Buildings,04/15/2020,"$67,450.00"
"308 CONSTRUCTION, LLC",Repairs-Buildings,04/22/2020,"$193,325.00"
"308 CONSTRUCTION, LLC",Repairs-Buildings,04/22/2020,"$152,017.38"
3PLAY MEDIA INC,Other Contracted Svces/Labor,04/29/2020,"$10,000.00"
4 COLOR PRESS,Departmental Supplies,04/08/2020,$948.08
4 COLOR PRESS,Printing-Other,04/29/2020,$339.00
4-L ENGINEERING COMPANY INC,Other Contracted Svces/Labor,04/22/2020,($921.20)
4-L ENGINEERING COMPANY INC,Other Contracted Svces/Labor,04/22/2020,"$2,113.20"
4-L ENGINEERING COMPANY INC,Miscellaneous Fees,04/29/2020,$440.50
4-L ENGINEERING COMPANY INC,Miscellaneous Fees,04/29/2020,$637.50
4-L ENGINEERING COMPANY INC,Other Contracted Svces/Labor,04/22/2020,$921.20
8&1 DANCE COMPANY,Guest Lecturer/Performer,04/15/2020,$950.00
A & W BEARINGS & SUPPLY CO INC,HVAC Supplies,04/15/2020,"$1,449.01"
A & W BEARINGS & SUPPLY CO INC,HVAC Supplies,04/29/2020,$45.45
A LIGHT CONSTRUCTION,Repairs-Buildings,04/08/2020,"$9,595.00"
A LIGHT CONSTRUCTION,Repairs-Buildings,04/15/2020,"$13,680.00"
A LIGHT CONSTRUCTION,Repairs-Buildings,04/22/2020,"$16,517.90"
A LIGHT CONSTRUCTION,Repairs-Buildings,04/29/2020,"$2,827.30"
A.C.I.S.,Service Contracts,04/08/2020,"$27,800.14"
A.C.I.S.,Service Contracts,04/08/2020,"$2,751.94"
A.C.I.S.,Service Contracts,04/08/2020,$788.71
A.C.I.S.,Service Contracts,04/08/2020,"$11,882.28"
A.C.I.S.,Service Contracts,04/08/2020,$485.00
A.C.I.S.,Service Contracts,04/08/2020,$760.00
A.C.I.S.,Service Contracts,04/08/2020,"$5,970.00"
A.C.I.S.,Construction,04/08/2020,"$10,664.56"
A.C.I.S.,Service Contracts,04/15/2020,$898.86
A.C.I.S.,Service Contracts,04/15/2020,"$3,655.00"
A.C.I.S.,Service Contracts,04/15/2020,$587.48
A.C.I.S.,Service Contracts,04/15/2020,"$4,912.52"
A.C.I.S.,Service Contracts,04/15/2020,"$25,255.00"
A.C.I.S.,Construction,04/15/2020,"$61,550.02"
A.C.I.S.,Repairs-Buildings,04/22/2020,"$8,137.14"
A.C.I.S.,Service Contracts,04/29/2020,"$1,066.38"
A.C.I.S.,Service Contracts,04/29/2020,$180.00
A.C.I.S.,Service Contracts,04/29/2020,"$2,785.00"
A.C.I.S.,Service Contracts,04/29/2020,"$2,365.00"
ABM INDUSTRIES INC,Other Contracted Svces/Labor,04/08/2020,"$9,106.30"
ABM INDUSTRIES INC,Other Contracted Svces/Labor,04/08/2020,"$1,583.05"
ABM INDUSTRIES INC,Other Contracted Svces/Labor,04/08/2020,"$37,051.64"
ABM INDUSTRIES INC,Other Contracted Svces/Labor,04/08/2020,"$72,812.19"
ABM INDUSTRIES INC,Service Contracts,04/15/2020,"$37,051.64"
ABM INDUSTRIES INC,Service Contracts,04/15/2020,$346.50
ABM INDUSTRIES INC,Service Contracts,04/15/2020,"$14,459.66"
ABM INDUSTRIES INC,Service Contracts,04/15/2020,"$9,290.85"
ABM INDUSTRIES INC,Service Contracts,04/15/2020,"$18,340.04"
ABM INDUSTRIES INC,Service Contracts,04/15/2020,"$54,332.21"
ABM INDUSTRIES INC,Service Contracts,04/15/2020,"$8,833.00"
ABM INDUSTRIES INC,Service Contracts,04/15/2020,"$8,833.00"
ABM INDUSTRIES INC,Service Contracts,04/15/2020,"$8,833.00"
ABM INDUSTRIES INC,Service Contracts,04/15/2020,"$8,833.00"
ABM INDUSTRIES INC,Service Contracts,04/15/2020,"$8,833.00"
ABM INDUSTRIES INC,Service Contracts,04/15/2020,"$8,833.00"
ABM INDUSTRIES INC,Service Contracts,04/15/2020,"$32,564.79"
ABM INDUSTRIES INC,Service Contracts,04/15/2020,$638.00
ABM INDUSTRIES INC,Service Contracts,04/15/2020,"$8,851.29"
ABM INDUSTRIES INC,Service Contracts,04/15/2020,$696.00
ABM INDUSTRIES INC,Service Contracts,04/15/2020,"$9,297.53"
ABM INDUSTRIES INC,Service Contracts,04/15/2020,"$1,616.29"
ABM INDUSTRIES INC,Service Contracts,04/15/2020,"$40,095.36"
