NAME,DESCRIPTION,CHECK DATE,AMOUNT
,,,
3-C TECHNOLOGY LLC,Non-Inv Equipment,07/09/2019,$735.00
3D MECHANICAL/SERVICE CO INC,Repairs-Physical Plant Equipment,07/25/2019,"$5,100.00"
3I CONTRACTING LLC,Consultant-Archit Reimb (Obs),07/30/2019,"$4,000.00"
3PLAY MEDIA INC,Other Contracted Svces/Labor,07/25/2019,"$5,000.00"
4 COLOR PRESS,Printing-Other,07/03/2019,"$1,258.81"
4 COLOR PRESS,Printing-Other,07/03/2019,$478.97
4 COLOR PRESS,Printing-Other,07/30/2019,"$1,655.45"
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,07/25/2019,"$6,886.07"
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,07/11/2019,"$3,168.49"
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,07/12/2019,"$5,924.25"
A & W BEARINGS & SUPPLY CO INC,HVAC Supplies,07/11/2019,$52.48
A & W BEARINGS & SUPPLY CO INC,HVAC Supplies,07/11/2019,$156.12
A & W BEARINGS & SUPPLY CO INC,HVAC Supplies,07/12/2019,$75.15
A & W BEARINGS & SUPPLY CO INC,HVAC Supplies,07/25/2019,$161.76
A COTTAGE FLORIST,Miscellaneous,07/23/2019,$100.00
A LIGHT CONSTRUCTION,Repairs-Buildings,07/09/2019,"$3,430.00"
A LIGHT CONSTRUCTION,Repairs-Buildings,07/09/2019,"$22,442.00"
A.C.I.S.,Service Contracts,07/03/2019,"$1,507.95"
A.C.I.S.,Service Contracts,07/03/2019,"$1,507.95"
A.C.I.S.,Service Contracts,07/03/2019,"$1,507.95"
A.C.I.S.,Service Contracts,07/03/2019,"$4,175.50"
A.C.I.S.,Service Contracts,07/03/2019,"$4,217.54"
A.C.I.S.,Service Contracts,07/03/2019,$475.00
A.C.I.S.,Service Contracts,07/03/2019,$237.50
A.C.I.S.,Service Contracts,07/03/2019,"$1,055.00"
A.C.I.S.,Service Contracts,07/03/2019,$190.00
A.C.I.S.,Repairs-Other,07/09/2019,$475.00
A.C.I.S.,Service Contracts,07/18/2019,"$1,480.00"
A.C.I.S.,Service Contracts,07/18/2019,$95.00
A.C.I.S.,Repairs-Physical Plant Equipment,07/23/2019,"$4,230.00"
A.C.I.S.,Repairs-Other,07/25/2019,"$1,625.00"
A.C.I.S.,Service Contracts,07/30/2019,"$1,507.95"
A.C.I.S.,Service Contracts,07/30/2019,"$25,852.28"
A1 FEED & SUPPLY,Vet. Tech Supplies-Farm Animals,07/18/2019,$483.00
A1 FEED & SUPPLY,Vet. Tech Supplies-Farm Animals,07/23/2019,$384.00
AACRAO,"Books, Booklets & Tapes",07/23/2019,$528.00
AAHHE,Memberships,07/09/2019,"$1,500.00"
AASHE,Prepaid Expenditures,07/09/2019,$630.00
AAV-ATHANS AUDIO VISUAL LLC,Promotional Activities,07/18/2019,"$7,755.00"
"ABC-CLIO, LLC",Bound Periodicals & Papers,07/03/2019,$57.00
"ABC-CLIO, LLC",Bound Periodicals & Papers,07/12/2019,$111.18
ABDO PUBLISHING CO,Books-Direct Book Purchases,07/09/2019,$519.00
ABM BUILDING SERVICES LLC,Other Contracted Svces/Labor,07/16/2019,$198.00
ABM BUILDING SERVICES LLC,Other Contracted Svces/Labor,07/16/2019,$198.00
ABM BUILDING SERVICES LLC,Service Contracts-Custodial,07/18/2019,"$14,162.25"
ABM BUILDING SERVICES LLC,Service Contracts-Custodial,07/23/2019,"$39,270.68"
ABM BUILDING SERVICES LLC,Service Contracts-Custodial,07/23/2019,"$3,446.19"
ABM BUILDING SERVICES LLC,Service Contracts-Custodial,07/23/2019,"$4,351.97"
ABM BUILDING SERVICES LLC,Service Contracts-Custodial,07/23/2019,"$4,274.46"
ABM BUILDING SERVICES LLC,Service Contracts-Custodial,07/23/2019,"$53,214.70"
ABM BUILDING SERVICES LLC,Service Contracts-Custodial,07/23/2019,"$31,894.99"
ABM BUILDING SERVICES LLC,Service Contracts-Custodial,07/23/2019,"$8,669.24"
ABM BUILDING SERVICES LLC,Service Contracts-Custodial,07/23/2019,"$9,106.30"
ABM BUILDING SERVICES LLC,Service Contracts-Custodial,07/23/2019,"$1,583.05"
ABM BUILDING SERVICES LLC,Service Contracts-Custodial,07/23/2019,"$36,289.56"
ABM BUILDING SERVICES LLC,Service Contracts-Custodial,07/23/2019,"$17,962.82"
ABM BUILDING SERVICES LLC,Service Contracts,07/23/2019,"$36,289.56"
ABM BUILDING SERVICES LLC,Service Contracts,07/23/2019,"$71,314.58"
ABM BUILDING SERVICES LLC,Service Contracts,07/23/2019,"$17,962.82"
ABM BUILDING SERVICES LLC,Service Contracts,07/23/2019,"$14,162.25"
ABM BUILDING SERVICES LLC,Service Contracts,07/23/2019,"$9,099.75"
ABM BUILDING SERVICES LLC,Service Contracts-Custodial,07/25/2019,"$71,314.58"
ABM BUILDING SERVICES LLC,Service Contracts-Custodial,07/30/2019,$522.75
ABM BUILDING SERVICES LLC,Service Contracts-Custodial,07/30/2019,$261.00
ABM BUILDING SERVICES LLC,Service Contracts-Custodial,07/30/2019,$294.00
